place,lat,lon
Mukul,11.3739886,-86.0131066
Bangalore,12.9715987,77.5945627
CongressVPRahulGandhi,18.5200474,73.8514859
BanaskanthaDistrict,24.3454739,71.7622481
Women,40.7498855,-73.9732202
Wealth,13.7442881,100.5298979
Noah,35.575054,-86.192688
NOMS,41.409545,-82.734309
Administration,44.8760592,-91.9292772
Salute,41.76556,-72.675989
Reliance,37.084508,-76.486614
GujaratFlood,22.965237,72.625633
Neepco,27.213647,93.8007432
Kaski,28.2622146,84.0167423
Everyone,37.3975915,-121.9108293
Know,39.1080806,-84.5136655
AirMarshal,32.8967826,-96.7476638
Paytm,30.6966712,76.7201445
Delhi,28.7040592,77.1024902
Reality,37.7636866,-122.4290335
BrandWest,37.9781,-122.546186
Good,34.063464,-118.368213
Dhammakaya,14.0666954,100.6472345
Mission,26.2159066,-98.3252932
MI17Chopper,42.3468816,-83.4542225
Ama,29.9521491,-90.2964674
TeamReliance,-36.9897636,174.8759602
Locality,40.523721,-105.033805
Observed,42.24394,-72.939725
Death,40.7259347,-73.9846348
WaterFilters,44.281391,-92.677961
SoniaGandhi,28.5657538,77.1677486
MuslimLeader,40.8333949,-73.8572761
Sonia,26.0706185,84.6387565
BanaskanthaGujarat,24.3454739,71.7622481
RahulGandhi,16.29708,80.4677918
Food,33.5063248,-112.0377487
FloodDamageAtRs,41.5969773,-109.2308182
LowerAssamDistricts,26.3215985,90.9820668
OdishaGovt,21.9033841,85.2423245
NewIndianXpress,9.992691,76.290334
Rajasthan,27.0238036,74.2179326
Rakhi,20.8578197,81.6851914
SMC,34.017023,-118.469755
SwachhBharatGov,23.3600499,85.842508
Rainfall,33.6302357,-112.3402834
FLOOD,37.2923509,-78.73278
Pokhara,28.237987,83.9955879
Flash,53.198914,-1.967596
China,35.86166,104.195397
NE,41.4925374,-99.9018131
Manipur,24.6637173,93.9062688
AjmalFoundation,26.009105,92.8575136
Newghat,26.0084875,89.9786933
Bhangarpar,23.5338089,91.4851715
Dhubri,26.0206982,89.9743463
OdishaFlood,21.5267256,87.1206473
Citizen,40.756537,-73.986328
Barmer,25.7531537,71.4180622
Congress,34.162526,-112.8507374
VidhanSabha,26.8918119,75.7975557
VtvNews,49.2832209,-123.1221506
Gelephu,26.8725114,90.4927134
CONFIDENCEIN,34.1918622,-118.4780244
Russia,61.52401,105.318756
Team,29.6369974,-95.1082567
AgainCity,51.2213465,4.3915418
ZooRoad,26.174455,91.777011
Guwahati,26.1445169,91.7362365
BRIDGE,37.8199286,-122.4782551
Nobody,-23.8992281,29.6745423
AhmedabadRains,23.107955,72.5351279
TOGETHER,41.2518101,-95.9476148
TO,-21.178986,-175.198242
TheeSIN,42.49083,-90.706841
Digi,18.2638461,72.9692895
ITM,29.601205,-98.2825864
NanRiver,17.6270932,100.6215065
AshramRajkot,22.2898161,70.7944179
AshramGzb,28.691962,77.449202
IFFCO,33.7604934,-84.387171
Kudos,51.036543,-114.0348019
Mehsana,23.5879607,72.3693252
GujaratShriAlkesh,21.193564,72.798789
Phitsanulok,16.8211238,100.2658516
OmNirvanaEntertainment,51.0977481,-113.9608764
Shruti,51.212556,-2.189455
Kharia,29.1329404,75.5174793
DhaneraAPMC,24.5098523,72.0290735
PM,46.8852,-56.3159
CMs,28.0663381,-82.42522
ArunachalPradesh,28.2179994,94.7277528
Mizoram,23.164543,92.9375739
Nagaland,26.1584354,94.5624426
Republica,42.4911487,-83.1837853
Bangladesh,23.684994,90.356331
Numerous,-25.738991,28.205019
BalasoreDistrict,21.3468696,86.6611083
MobileVeterinaryUnits,39.998435,-82.831441
Rapid,27.951688,-82.533173
AhmedPatel,18.6107486,77.9028629
CattleFeed,40.3301444,-104.775342
MVU,44.927863,-73.1018239
Balasore,21.4869337,86.9246005
AnimalHealthCamps,32.7242663,-97.4675205
Mirzapur,25.1336987,82.5644344
Bari,41.1171432,16.8718715
Erada,40.2257645,-7.6483242
AnimalHealthCamp,32.7242663,-97.4675205
Korei,50.8515956,4.3499563
MitsubishiMotorsThailand,13.7211931,100.5599106
GangaRiver,27.4036401,83.0319706
KapilSibal,21.1489557,79.1160825
Gandhinagar,23.2156354,72.6369415
VIP,43.4047902,-70.5234959
Dharmasala,32.219042,76.3234037
Erbanka,50.2249938,12.8834975
Sujanpur,32.31263,75.6014359
Joypur,54.082187,-0.187857
Dist,42.3538342,-71.0470439
WestBengal,22.9867569,87.8549755
PujyaAsaramBapuji,23.5683848,70.6528592
FoodPackets,34.199774,-118.931932
Clothes,34.0948859,-117.7184572
AshramHyderabad,17.245437,78.3859208
SantAmritvani,29.6804594,76.9934314
VasundharaBJP,28.658993,77.315806
CongMLAs,27.7381481,75.7898068
Hellos,35.492686,134.229367
Helps,45.9307901,-87.5987429
VillageGuchnad,37.6841421,-77.885374
THT,-22.9220107,-43.2356568
SEBI_India,27.877348,93.479164
Benami,-14.3782747,-65.0957792
JShah,41.894657,-87.62249
ArvindKejriwal,12.9715987,77.5945627
Krupa137330121,40.7625745,-78.3920858
Agra,27.1766701,78.0080745
UttarPradesh,26.8467088,80.9461592
RUNI,24.5231556,72.1356893
BengalFloodRelief,22.6097827,87.6211642
Saffron,30.35501,-97.755505
OmHindu_,19.0109545,72.8270478
MadhyaPradesh,22.9734229,78.6568942
KansasCity,39.0997265,-94.5785667
SaffronFlood,40.9051471,-74.4115396
Divya,58.286112,56.6005271
NishaSharma,42.5581585,-79.1274048
DMOffice,26.8517005,80.9387117
Sir,40.7562513,-73.9984725
ChouhanShivraj,26.9159729,75.7400563
MarathaInMumbai,19.1039921,72.8698194
Indian,41.4954304,-81.6867356
Rs1,45.5479276,-122.9161649
Chennai,13.0826802,80.2707184
SouthIndians,12.2601557,77.1461396
GujaratAssembly,23.2191522,72.656974
RRAMAN3,51.3009224,-114.0141166
ERSK,52.3945704,-6.9449013
Has,41.8110023,-87.6848261
CongressMLAs,27.7381481,75.7898068
MuslimMP,24.3631502,77.2261452
CAREIndia,28.5879556,77.3115166
RapidAssessment,42.9668167,-85.6706128
Bahraich,27.5708377,81.5980246
OmarAbdullah,6.1863314,102.2678809
Hundreds,34.080211,-118.3619411
FloverRed,40.722824,-73.993923
Sonari,27.0280144,95.0312498
AshramJodhpur,26.2272104,72.9551649
Modi,24.5855899,73.977126
BLOCKRADIO,36.307093,-76.2303141
Laurel,37.0693489,-84.1857115
MD,39.0457549,-76.6412712
Bjp,31.634929,74.870922
Pranaybhaibsk,17.4716833,78.565575
INDIA,20.593684,78.96288
Raj,53.879094,19.9234589
Plsuryawanshi,12.9702747,77.6358636
Gujrat,22.258652,71.1923805
Karnataka,15.3172775,75.7138884
Shame,33.1983327,-80.7855628
INS,38.583269,-90.278044
ChineseRaakhis,22.5701869,88.369417
Congi,-26.6823565,143.6170761
Opposition,42.3401281,-122.8942813
Timely,59.929431,10.754661
KoshiBasin,26.107389,86.8551096
Sant,18.9582742,-72.0468164
AsaramBapuji,29.9930952,78.2015258
Bengaluru,12.9715987,77.5945627
SanjaySingh,41.2650333,-95.9545586
ANINo,56.0063868,36.1174665
Thailand,15.870032,100.992541
Harrys1DEmpire,40.7287089,-73.9894151
MrRightProSeeing,31.7507275,120.0012147
SakolNakorn,17.1545995,104.1348365
Malotara,32.7712807,74.8284129
State,41.9216582,-87.6524064
FloodResilience,53.7587611,-0.7138597
Nepal,28.394857,84.124008
KamalaRiverBasin,13.1190593,80.2765645
Dada,26.463289,-80.073443
IslamicErdogan,37.8433252,32.4672103
AnchorAnandNCld,36.2758662,-119.1312985
Wait,36.7675683,-84.9949508
CongissPig,38.9315395,-74.924234
Dinesh_B5,12.9691268,77.5752645
Democracy,40.7457995,-73.9951536
GreatCourage,25.0613034,121.5091991
HighCommand,44.058002,-79.4283755
Sichuan,30.2638032,102.8054753
None,44.9334927,7.5407494
Kankrej,24.0402398,71.9418484
Rajdeep,18.5098449,73.8137392
PMModi,17.4289427,78.4874925
DSN,40.2601172,-74.0013496
SriLanka,7.873054,80.771797
AshramSgr,41.293229,-74.1647862
MLATapan,42.2771417,-71.0913748
Brace,35.372578,-87.3047365
Sarahah,40.7221093,-81.5135626
Bengal,22.9867569,87.8549755
Anti,40.747473,-73.991423
NewOrleans,29.9510658,-90.0715323
AhemadabadAshram,23.0607723,72.5808868
AshramGaushala,23.0618471,72.5809273
Ahmed,28.596572,-81.243464
Rastaa,30.289956,78.040279
FloodVictims,39.4091651,-85.0094584
Dear,46.7993412,-116.5559894
Idiot,34.0838277,-118.3509386
Chandigarh,30.7333148,76.7794179
APatel,-23.550119,-46.52715
AShah,32.840659,-83.632659
BJP4Jharkhand,23.6804356,86.1749573
Wish,29.7429463,-95.3999717
AssamCM,26.1823,91.7411
Centre,32.8374242,-96.7772491
DM,15.414999,-61.370976
Army,40.7924171,-74.1966221
LokKalyanSetu,22.6611549,88.3900948
GujaratCongress,23.0176885,72.5698806
IAF,41.873458,-87.6288916
DNA,37.7710938,-122.4126502
FLOODNewAlert,16.1322924,120.67945
NortheastRailLinkCut,52.7425894,-109.015639
BiharFlood,25.5832852,85.0975657
Bihar,25.0960742,85.3131194
Change,47.986925,0.2786429
Aid,41.7833404,-88.3223365
VenturesCafe,27.726192,85.3307891
PMO,34.6712532,-77.3498329
ShilpiTheatre,27.704452,85.341088
Makwanpur,27.5546357,85.023346
Narayani,27.5863482,84.3226488
Nepali,28.394857,84.124008
Biharflood,25.5832852,85.0975657
LKO,26.8466937,80.946166
_AdilHussain,30.324907,78.026594
OperationFlood,16.1322924,120.67945
FillTheBucket,30.0938947,-92.6721176
UPDATE,30.704524,76.71865
NortheastIndiaWorst,28.6019589,77.3570311
Majuli,27.0016172,94.2242981
Sonowal,27.392224,94.8765383
ShillongTimes,25.5686877,91.8719172
HelplineNo,23.267058,77.473052
HimachalAdministration,31.1048294,77.1733901
Seemanchal,26.1687778,87.4206121
NitishKumarMy,25.6101359,85.1642169
Kadmaha,26.4543286,87.3711477
Supaul,26.2899113,86.8220341
Pls,32.7491421,-96.6833101
MahaSarakham,16.0132015,103.1615169
HIGH,33.7900674,-84.3856034
Volunteer,37.6501519,-120.9932779
TYPE,43.6455743,-79.4115565
KNE,47.6566273,-122.3091503
Uttarakhand,30.066753,79.0192997
Narahia,26.3717426,86.5350176
WATWBPlantTrees,39.8267271,-75.8539174
NDTV,28.5538557,77.2311003
Immediate,34.097581,-84.176532
Vulnerable,-12.0483635,-77.0347673
EasternIndia,22.8961999,85.980011
NorthernBihar,26.2109274,80.9137968
NorthBengal,26.7183359,88.4325773
PMOIndia,25.2898983,83.00141
NitishKumar,25.8839366,87.1167326
Liverpool,43.106456,-76.2177046
Terai,24.9736726,78.478036
Vill,33.5106178,-111.984614
Bishnupur,23.0678795,87.3165222
Amour,25.9556948,87.7295746
Bahut,46.8051268,-71.1816747
BiharFloodsAny,25.5084372,86.4811081
NorthEast,42.0492205,-97.3957793
Bahdurabad,25.2257663,89.7555962
Sariakandi,24.8887731,89.5709844
Sirajganj,24.3141115,89.5699615
Jamuna,22.4973949,83.9453168
POWEROFFLOOD,33.3698037,-111.6884761
ASSAM,26.2006043,92.9375739
EAM,33.6283685,-111.9075915
NepalSriKrishnaBahadur,28.663181,77.164787
Muslims,38.941977,-76.950324
Biharis,-33.9756761,18.4649894
IND,40.2671941,-86.1349019
GujaratState,22.258652,71.1923805
Kosi,39.6087704,-104.8980965
Gandak,29.6276621,79.8338761
Rapti,26.5300366,83.4639967
Us,37.09024,-95.712891
Tripura,23.9408482,91.9881527
BahadurMahara,30.5161795,75.8875174
Painful,39.188996,-76.725986
Road,41.572964,-71.485702
Jakhalabandha,26.5707667,93.0025615
Nagaon,26.3463713,92.6840426
SamdarshanAshram,23.1989247,72.6449117
Abhinav,28.5472968,77.2503242
MuslimLeague,37.6717593,-122.0870331
Yogashram,50.8233712,4.4075079
Farm,35.4713108,-87.3210411
BiharFloods,25.5832852,85.0975657
NagalandPost,25.9097562,93.7191886
News,42.5607773,-83.149918
Sunamganj,25.0714535,91.3991627
YouTube,33.976817,-118.407293
Simanchal,19.0405006,72.8528027
Help,36.115687,-115.1316239
Jarahi,21.3284053,81.1816399
Rautahat,27.0486903,85.3136218
Rain,30.2665338,-97.7456786
RajnathSingh,25.6092028,85.0684399
Assist,45.491379,-122.6771549
BiharCM,25.6013266,85.1077662
NDRF,16.3792902,80.5313928
Shri,41.8801255,-71.3799735
Bongaigaon,26.5009992,90.5352356
Lower,46.1421993,-122.9359007
Trade,42.3536368,-71.0532771
Akhaura,23.8686193,91.2097291
NitishKumarSir,25.31872,83.0183809
East,3.9505128,13.914399
Stand,37.9694251,-122.049378
Khaleda,40.6933628,-73.9870877
ArariaDistrict,26.1108142,87.3016132
TeestaBarrage,26.5769556,89.0316032
Embassy,29.565124,-98.487316
Meghalaya,25.4670308,91.366216
BiharFloodsHeavy,25.5832852,85.0975657
WestChamparanVillage,21.0358098,81.9234712
Kaziranga,26.577531,93.171122
Burachapori,26.865731,92.848206
Rajdhani,33.8630601,-118.0824125
Northeast,42.0492205,-97.3957793
Railway,31.777119,-98.7330479
AssamFloods,26.1326798,91.8069753
North,8.5809013,13.914399
CHEBUR,19.0327996,72.8963568
BhagavadGita,10.5932002,76.0408375
SriSri,20.4532721,85.7974291
SamarthaHelpline,26.249717,78.212427
UpperAssam,26.2006043,92.9375739
Ride,30.2645383,-97.7465253
Pujya,23.0105019,72.5284087
AnkitLal,28.6593235,77.4702618
BUSY,37.2784274,-83.2904554
DIDNT,38.3393222,-122.6732163
Moderate,26.9934676,75.7842191
NRNA,27.6942491,85.3063045
KantipurMediaGroup,27.691259,85.318022
Sadiya,27.860175,95.6273951
Situation,40.7445992,-73.9865382
MahendraHighway,28.9946569,80.0975243
Need,32.8094102,-97.2738054
HELP,36.115687,-115.1316239
Save,35.0236107,50.3585065
Sunsari,26.6275522,87.1821709
Photo,35.9189898,-78.9582557
Tinsukia,27.4921909,95.346775
AssamCondition,26.13684,91.738168
Kundil,27.997192,95.796104
Baluwatar,27.7254865,85.3297752
Spread,39.9485979,-75.174448
NDRFHQ,18.762816,73.757793
CoochBehar,26.3356861,89.445851
NorthDinajpur,25.9810393,88.050979
Alipurduar,26.4918891,89.5271026
Jalpaiguri,26.5434772,88.7205256
WorkHonestly,41.8890686,-87.6728226
_ManmohanSingh,28.6312217,77.1158639
LOL,51.4699359,3.5929402
MamtaRawat,26.4669573,80.3438725
DumariKhurd,26.644687,83.5802838
DistrictSitamarhi,26.6321781,85.520024
TKP,41.6429758,-81.4492244
Alliance,40.9153362,-81.1059309
Please,40.6654194,-73.9892429
Ghaziabad,28.6691565,77.4537578
NorthBihar,25.6100802,85.1284674
ZeeNews,31.632655,74.8734729
Lahorighat,26.41874,92.3425035
Jahase,26.841604,80.9269947
Hindustan,20,78
AssamFlood,26.1326798,91.8069753
Nine,40.7586939,-73.9920561
Dinajpur,25.6279123,88.6331758
NarendraModi,28.510917,77.2404528
Purnea,25.7771391,87.4752551
Kept,44.6663153,-63.5681578
West,5.4638158,10.8000051
GorkhaliBp,40.392709,-79.987056
Brahmaputra,26.4746671,92.5347513
PiyushGoyalOffc,19.011922,72.836683
NANDANPRATIM,26.14843,91.79069
HighAlert,28.711407,77.1118407
NagaonTown,26.3463713,92.6840426
MayB,38.0145384,-97.3374566
SushilModiSir,19.1124184,72.8827106
Relief,35.6519187,-91.7246856
FloodHavoc,43.2239386,-72.9352426
NandaRoad,22.0819648,106.7432756
Mugalsray,25.2814947,83.1198203
Allahabad,25.4358011,81.846311
PMOIndiaSir,28.9650782,73.1880618
Subscribe,-37.922474,145.1486351
ArariaDistict,26.1108142,87.3016132
Sahil,41.997604,-87.695126
SupportUs,34.1419421,-118.1335122
Bapuji,43.69318,-79.692312
Sunny,29.7466655,-95.4577549
Mamaltdar,22.6357818,74.0992092
Come,45.8080597,9.0851765
FloodRescue,37.342386,-122.072847
PMOIndiaReliefItems,23.0258932,72.5867082
Raghu,39.9890843,-82.8187948
FloodForecasting,16.1322924,120.67945
AllIndiaServices,28.5730853,77.2685657
Hon,34.9453796,-94.1718542
SamsherSingh,30.7021049,76.8000091
Shihori,24.0392285,71.941616
TeestaRiver,26.5769556,89.0316032
NTVNews,19.1078004,74.7409075
WestChamparan,27.1543104,84.3542049
GaunahaBloc,27.2999721,84.4802606
Air,38.9028096,-77.0603574
DeepShrestha,28.6604,77.264634
GreatFlood,38.224708,-85.694523
Naked,34.1372385,-118.0101344
AdvanceHuman,34.010229,-84.0583773
Rahatmina,26.2752708,87.4182728
BrahmaputraValley,26.1021647,91.2469935
IndianArmy,29.0162094,77.7245808
KarbiAnglongDistricts,26.186085,93.5812692
Same,-9.0020538,125.6478189
Water,35.0876916,-106.6515584
DolaGanguly,22.4924332,88.3821455
NepalTelecom,28.2039842,81.3438518
SMSes,33.6777078,-117.8544951
Rail,40.4279136,-86.9127327
NepalMedicalAssociation,27.7020032,85.3192355
USA,37.09024,-95.712891
Cheapest,30.4850904,-97.6822398
SushmaSwaraj,26.436854,80.289822
Oook,25.399442,81.872819
Bighit,43.6415497,-79.4219678
Helpline,43.5590734,-96.7463018
Madheshi,26.6591132,86.2198197
ISKCONMayapur,23.423429,88.3879257
Local,47.6222573,-122.3368892
Vizag,17.6868159,83.2184815
ID_Report,42.8607441,-112.4501963
NarendraModiNarendraModi,28.620072,77.484214
FindYourFocusMumbai,19.113568,72.8938647
NitishGovt,19.995828,73.754858
Kaliabor,26.534442,93.092296
ARARIA,26.1108142,87.3016132
Hindu,58.620982,22.8145579
ZeeNewsHindi,28.5694541,77.3162968
Narkatiaganj,27.1059249,84.4645184
Post,33.9972943,-118.1685319
Suger,43.4920072,-70.4537084
GHY,47.4800833,-122.2040608
NTSK,27.4797616,95.3340108
JBN,40.670211,-75.374912
KIR,58.6035321,49.6667983
BiharGovt,25.7224991,85.6241342
NH37,18.5387176,73.834567
Hope,42.7871797,-86.1023574
Agartala,23.831457,91.2867777
HHShri,29.90897,78.1343851
GhatalMaster,22.6604913,87.7378534
NationalVoice,28.6274882,77.3765122
Free,39.88828,-75.17664
BSF_India,22.7311554,75.8541217
BNP,40.7618356,-73.9821805
ABPNews,28.6039248,77.3645527
ABP,32.9359628,-96.9060724
False,38.9512269,-92.3280075
Lakh,26.9369951,79.6221368
NorthernEastBihar,26.1217369,85.3909124
Rescue,39.9500123,-75.1676889
Kaliabar,42.093279,19.1003309
Kolong,-33.8878075,151.1665149
PleaseGod,35.1250898,-2.9522265
NagaonDistrict,26.2996872,92.6983868
Ultron,36.0698443,-80.3010241
Hulk,28.471308,-81.4683383
Muslim,37.376718,-121.959827
NORTH,8.5809013,13.914399
BENGAL,22.9867569,87.8549755
EasternRailway,22.4921392,88.3192236
Hun,48.0452225,-111.5024527
SushilModi,22.6813432,88.4754532
Vandematram,23.1215224,72.5472183
Celebrate,36.3798627,-82.370815
Hydrology,41.8902775,-87.6321646
Meteorology,40.793244,-77.8668787
DHM,39.6997289,-104.9870789
Tarai,53.5678607,-6.5799817
LalitpurPic,27.6604443,85.3266682
Rampur,28.7893041,79.0249516
KathmanduPost,27.691097,85.318043
NEA,38.9060398,-77.0360087
Kochadhaman,26.105258,87.9543099
Life,41.6086418,-70.486439
Health,34.0479377,-118.4620097
HMOIndia,18.9357947,72.840254
Samastipur,25.8629679,85.7810263
KatiharDivision,25.5479337,87.565149
HM,-53.08181,73.504158
NEPAL,28.394857,84.124008
TELECOM,33.0925129,-80.030292
WholeAssam,26.2562017,90.5876314
Parsa,25.8859808,85.0272723
DhengBridge,55.9181093,-4.3317263
Base,37.4072866,-122.0786282
SitamarhiDist,26.6321781,85.520024
inUNPRECENTED,34.7235574,137.8579477
Amritsar,31.6339793,74.8722642
Dibrugarh,27.4728327,94.9119621
Rajnath,20.91,77.7467999
Nitish,37.7642921,-122.4574255
SonpurDivision,25.6971188,85.1685995
Blase,57.8945116,18.844039
Birgunj,27.0449005,84.8672171
Gaur,26.7831243,85.2774207
CurrentNewsEnglish,53.6037056,10.0230644
BJYM,18.4862983,74.0984253
ISRO,19.0714563,72.8317189
KantipurFoundation,27.678026,85.3211999
Garo,39.120041,-105.894402
TURA,40.7515497,-73.9869104
Harirampur,25.3773195,88.2680172
DakshinDinajpur,25.3715308,88.556531
Have,6.3032237,0.9032769
Celebs,40.7080244,-73.6894843
SMS,41.8986422,-87.6227578
NitishKumarDear,28.5837519,77.250053
Mr.RamnathSingh,26.5844927,78.5144538
NFRailway,25.5558869,87.5655928
Tea,34.1036186,-118.087727
ArAria,26.1108142,87.3016132
SetoPati,27.6772083,85.3095991
Baharich,27.5708377,81.5980246
Video,37.8296761,-122.2478274
CS,39.5644105,16.2522143
South,44.2360789,-96.4811547
NDRFTeams,23.7145436,91.2738676
BhubneshwarAirport,20.2500068,85.8172135
PSU,45.528382,-122.6574727
Huge,40.7028796,-73.9904226
FastMail,-37.816351,144.958888
Neta,42.3316306,-71.1180632
NorthernBangladesh,23.7934294,90.4037044
Aug,43.6507645,-79.3822289
Lungis,46.4099904,12.8241932
Mafatpura,24.4899166,72.3056254
NaniBazaar,21.21679,73.2179874
Jamadar,20.7879959,86.2641076
Bride,33.1224414,-91.5461114
Communication,33.5819461,-101.8803589
THRDAlliance,27.68289,85.3479859
BodolandTerritorialArea,28.5544122,77.2413728
MandipThakur,26.8030187,79.5058368
Dhanusa,26.8350474,86.0121573
NitishKumarJogbani,30.709295,76.682284
FloodinASSAM,26.1326798,91.8069753
Atreyee,22.461794,88.397108
JayprithiviHighway,27.687083,85.241006
Chief,47.3582498,-95.8619589
Bridge,37.8199286,-122.4782551
KaliaborNagaon,26.534442,93.092296
Banke,48.8736713,2.3361987
NakhonSi,8.4303975,99.9631219
KochBihar,26.3356861,89.445851
UNPRECEDENTED,34.7235574,137.8579477
Do,40.7291156,-73.9983454
TOIIndia,27.5426957,75.7502314
NTC,44.986087,-89.646388
NcellTele,38.0045566,-122.5379774
Madesh,50.4338131,11.1568036
Rokhi,42.100038,42.7054606
Teesta,26.5769556,89.0316032
IndiaTodayFLASH,28.5692548,77.3177055
inTripura,23.9408482,91.9881527
Must,33.9851621,-84.5691772
TEEZ,42.9612343,-78.8377389
Red_alert,22.6968915,75.8632537
Whole,30.2706676,-97.7532464
ChineseConspiracy,22.2879383,114.2108316
NorthEastStates,43.2994285,-74.2179326
Apathy,40.0565485,-84.2376967
BiharFloodNo,25.5832852,85.0975657
NitishKumarNo,28.517945,77.17834
GovtOfficials,28.572632,77.322271
KazirangaNationalPark,26.577531,93.171122
DrJitendraSingh,33.792752,-84.2776746
Trains,41.8946401,-87.6211275
DY365,26.116219,91.715133
Floods,42.3343275,-83.0403684
Many,31.5687848,-93.4840645
Petrol,34.1802405,-118.3169212
IndianOilcl,19.053673,72.84497
AnsariAmbasdr,12.9818,77.599683
Fresh,42.3513933,-71.0764495
NakhonSri,8.4324831,99.9599033
LALU,39.7750668,-105.0441446
BJP4TripuraKaryakartas,23.9483903,92.0034385
Karyakarta,19.209834,72.955416
NFR,47.5928043,-92.5868151
Market,39.9532527,-75.1592574
School,40.5590845,-74.1550189
Colellege,40.2242396,-74.8840892
CivilHospital,22.3038676,70.801406
Affected,27.3387795,88.618252
RoadMorigaonDistrict,26.2535334,92.3498163
LalmonirhatDistrict,25.9923398,89.2847251
Pray,45.3799612,-110.6819336
Monsoon,39.0323747,-77.4240947
Hatimura,26.6100977,92.9958578
Babai,22.7029641,77.9364968
LambaAlka,30.70022,76.761817
Message,29.6251192,-95.5879852
PM_Nepal,28.2128653,83.9583846
Lucknow,26.8466937,80.946166
UPVidhanSabha,26.8437384,80.9441861
Stay,41.9568817,-87.6935008
GujState,22.258652,71.1923805
WestMP,0.4152881,36.321533
ICTSolutions,35.8877658,14.4665775
BarpetaDist,26.3215985,90.9820668
HelpKishanganj,26.4310993,88.1288363
NitishKumarKishanganj,28.5837519,77.250053
Chor,25.5114274,69.7823059
Which,32.7710462,-117.1583154
Support,37.5014653,-122.2139997
BRANDAMBASSADOR,-37.771363,144.915195
MassFlood,42.3451481,-71.5567066
TERAI,24.9736726,78.478036
Birana,27.4326622,74.9501034
